"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_NOTIFY_ERR_NOWEBHOOK","No webhook was selected!","No webhook was selected!","Nebyl vybrán žádný webhook!","Kein WebHook ausgewählt!","Не выбран ни один WebHook!","Nie wybrano żadnego WebHooka!","Nincs kiválasztva WebHook!","Nessun WebHook selezionato!","¡No se seleccionó WebHook!","Aucun WebHook sélectionné!","未選取任何 WebHook!","WebHook が選択されていません!","Nenhum WebHook selecionado!","未选择任何 webhook！",
"VSTR_NOTIFY_ERR_WBHOOK_NAMESHORT","Error","Error","Chyba","Fehler","Ошибка","Błąd","Hiba","Errore","Error","Erreur","錯誤","エラー","Erro","错误",
"VSTR_NOTIFY_ERR_NAMEINUSE_WEBHOOK","is already used!<br/>Please use a unique name","is already used!<br/>Please use a unique name","je již použito!<br/>Použijte jedinečný název","wird bereits verwendet!<br/>Bitte verwende einen eindeutigen Namen","уже используется!<br/>Пожалуйста, используйте уникальное имя","jest już używane!<br/>Użyj unikalnej nazwy","már használatban van!<br/>Kérlek használj egyedi nevet","è già in uso!<br/>Usa un nome univoco","¡ya está en uso!<br/>Usa un nombre único","est déjà utilisé!<br/>Utilisez un nom unique","已被使用!<br/>請使用唯一名稱","は既に使用されています!<br/>一意の名前を使用してください","já está em uso!<br/>Use um nome exclusivo","已被使用！<br/>请使用唯一的名称",
"VSTR_NOTIFY_ERR_DEL_WEBHOOK","Something went really wrong<br/>Could not delete webhook:","Something went really wrong<br/>Could not delete webhook:","Něco se vážně pokazilo<br/>Nelze smazat webhook:","Etwas ist wirklich schiefgelaufen<br/>WebHook konnte nicht gelöscht werden:","Что‑то пошло совсем не так<br/>Не удалось удалить WebHook:","Coś poszło naprawdę nie tak<br/>Nie można usunąć WebHooka:","Valami nagyon elromlott<br/>Nem sikerült törölni a WebHookot:","Qualcosa è andato davvero storto<br/>Impossibile eliminare il WebHook:","Algo salió realmente mal<br/>No se pudo eliminar el WebHook:","Quelque chose s'est vraiment mal passé<br/>Impossible de supprimer le WebHook:","發生重大錯誤<br/>無法刪除 WebHook:","重大な問題が発生しました<br/>WebHook を削除できませんでした:","Algo deu muito errado<br/>Não foi possível excluir o WebHook:","出了点问题<br/>无法删除 webhook：",
"VSTR_TOOLTIP_TITLE_WBHOOK_DEL","Delete webhook?","Delete webhook?","Smazat webhook?","WebHook löschen?","Удалить WebHook?","Usunąć WebHook?","WebHook törlése?","Eliminare WebHook?","¿Eliminar WebHook?","Supprimer le WebHook?","刪除 WebHook?","WebHook を削除しますか?","Excluir WebHook?","确定要删除 WebHook:",
"VSTR_TOOLTIP_WBHOOK_DEL","Are you sure you wish to delete webhook:","Are you sure you wish to delete webhook:","Opravdu chcete smazat webhook:","Möchtest du den WebHook wirklich löschen:","Вы уверены, что хотите удалить WebHook:","Czy na pewno chcesz usunąć WebHook:","Biztosan törlöd ezt a WebHookot:","Sei sicuro di voler eliminare il WebHook:","¿Seguro que quieres eliminar el WebHook:","Êtes-vous sûr de vouloir supprimer le WebHook:","確定要刪除 WebHook:","本当に WebHook を削除しますか:","Tem certeza de que deseja excluir o WebHook:","您确定要删除 webhook 吗？",
"VSTR_TOOLTIP_TITLE_WBHOOK_SELC","Select Webhook?","Select Webhook?","Vybrat webhook?","WebHook auswählen?","Выбрать WebHook?","Wybrać WebHook?","WebHook kiválasztása?","Selezionare WebHook?","¿Seleccionar WebHook?","Sélectionner un WebHook?","選取 WebHook?","WebHook を選択しますか?","Selecionar WebHook?","选择 Webhook？",
"VSTR_TOOLTIP_WBHOOK_SELC","Any unsaved changes to previously selected item will be discarded continue?","Any unsaved changes to previously selected item will be discarded continue?","Všechny neuložené změny předtím vybrané položky budou zahozeny, pokračovat?","Alle ungespeicherten Änderungen an der zuvor ausgewählten Position gehen verloren. Fortfahren?","Несохранённые изменения ранее выбранного элемента будут потеряны. Продолжить?","Wszelkie niezapisane zmiany wcześniej wybranej pozycji zostaną porzucone. Kontynuować?","A korábban kiválasztott elem nem mentett módosításai elvesznek, folytatod?","Eventuali modifiche non salvate all'elemento selezionato in precedenza verranno scartate, continuare?","Cualquier cambio no guardado del elemento seleccionado previamente se perderá, ¿continuar?","Toutes les modifications non enregistrées de l'élément précédemment sélectionné seront perdues, continuer?","先前所選項目的未儲存變更將被捨棄，是否繼續?","以前に選択していた項目の未保存の変更は失われます。続行しますか?","Qualquer alteração não salva do item selecionado anteriormente será descartada. Continuar?","对先前选定项目的任何未保存更改都将被丢弃，是否继续？",
"VSTR_TOOLTIP_XML_EDITORCHN","Are you sure you wish to save changes?<br/><br/> Please note that these changes don't take effect to the CE automatically","Are you sure you wish to save changes?<br/><br/> Please note that these changes don't take effect to the CE automatically","Opravdu chcete uložit změny?<br/><br/> Upozornění: tyto změny se v CE neprojeví automaticky","Möchtest du die Änderungen wirklich speichern?<br/><br/> Hinweis: Diese Änderungen werden nicht automatisch im CE wirksam","Вы уверены, что хотите сохранить изменения?<br/><br/> Обратите внимание: эти изменения не применяются в CE автоматически","Czy na pewno chcesz zapisać zmiany?<br/><br/> Uwaga: te zmiany nie działają w CE automatycznie","Biztosan elmented a változtatásokat?<br/><br/> Megjegyzés: ezek a módosítások nem lépnek automatikusan életbe a CE-ben","Sei sicuro di voler salvare le modifiche?<br/><br/> Nota: queste modifiche non hanno effetto automaticamente nel CE","¿Seguro que quieres guardar los cambios?<br/><br/> Nota: estos cambios no surten efecto automáticamente en el CE","Êtes-vous sûr de vouloir enregistrer les modifications?<br/><br/> Remarque: ces modifications ne prennent pas effet automatiquement dans le CE","確定要儲存變更?<br/><br/> 注意: 這些變更不會自動在 CE 中生效","本当に変更を保存しますか?<br/><br/> 注意: これらの変更は CE で自動的には反映されません","Tem certeza de que deseja salvar as alterações?<br/><br/> Observação: essas alterações não entram em vigor automaticamente no CE","您确定要保存更改吗？<br/><br/>请注意，这些更改不会自动对 CE 生效。",
"VSTR_TOOLTIP_XML_SCAN","This feature uses heavy server resource","This feature uses heavy server resource","Tato funkce je náročná na zdroje serveru","Diese Funktion benötigt viele Serverressourcen","Эта функция сильно нагружает сервер","Ta funkcja mocno obciąża zasoby serwera","Ez a funkció erősen terheli a szerver erőforrásait","Questa funzione utilizza molte risorse del server","Esta función utiliza muchos recursos del servidor","Cette fonctionnalité consomme beaucoup de ressources serveur","此功能相當耗費伺服器資源","この機能はサーバーリソースを多く消費します","Este recurso usa muitos recursos do servidor","此功能会占用大量服务器资源",
"VSTR_XML_TITLE_NOMINAL","Nominal:","Nominal:","Nominal:","Nominal:","Nominal:","Nominal:","Nominal:","Nominal:","Nominal:","Nominal:","标称值:","Nominal:","Nominal:","标称值:",
"VSTR_XML_TITLE_LIFETIME","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","Lifetime:","生存时间:","Lifetime:","Lifetime:","生存时间:",
"VSTR_XML_TITLE_RESTOCK","Restock:","Restock:","Restock:","Restock:","Restock:","Restock:","Restock:","Restock:","Restock:","Restock:","補貨:","Restock:","Restock:","补货:",
"VSTR_XML_TITLE_MIN","Min:","Min:","Min:","Min:","Min:","Min:","Min:","Min:","Min:","Min:","最小值:","Min:","Min:","最小值:",
"VSTR_XML_TITLE_QUANTMIN","Quantmin:","Quantmin:","Quantmin:","Quantmin:","Quantmin:","Quantmin:","Quantmin:","Quantmin:","Quantmin:","Quantmin:","最小数量:","Quantmin:","Quantmin:","最小数量:",
"VSTR_XML_TITLE_QUANTMAX","Quantmax:","Quantmax:","Quantmax:","Quantmax:","Quantmax:","Quantmax:","Quantmax:","Quantmax:","Quantmax:","Quantmax:","最大数量:","Quantmax:","Quantmax:","最大数量:",
"VSTR_XML_TITLE_COST","Cost:","Cost:","Cost:","Kosten:","Cost:","Koszt:","Költség:","Costo:","Costo:","Coût:","成本:","コスト:","Custo:","费用：",
"VSTR_XML_NOMINAL","Items of this type are spawned to this value (assuming there is enough place in the world","Items of this type are spawned to this value (assuming there is enough place in the world","Předměty tohoto typu se spawnují do této hodnoty (za předpokladu, že je ve světě dost místa","Items dieses Typs werden bis zu diesem Wert gespawnt (sofern in der Welt genügend Platz ist","Предметы этого типа спавнятся до этого значения (если в мире достаточно места","Przedmioty tego typu są spawnowane do tej wartości (zakładając, że w świecie jest dość miejsca","E típusú tárgyak eddig az értékig spawnolnak (feltéve, hogy van elég hely a világban","Gli oggetti di questo tipo vengono spawnati fino a questo valore (supponendo che ci sia abbastanza spazio nel mondo","Los objetos de este tipo se spawnean hasta este valor (suponiendo que haya suficiente espacio en el mundo","Les objets de ce type se spawneront jusqu'à cette valeur (en supposant qu'il y ait suffisamment de place dans le monde","此類型的物品會生成至此數值（假設世界中有足夠空間","このタイプのアイテムはこの値までスポーンします（ワールドに十分な空きがある場合）","Itens deste tipo serão spawnados até este valor (pressupondo espaço suficiente no mundo","此类物品的生成数量将达到此值（假设世界中有足够的空间）。",
